#ifno rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv
    0 400.0000 5.000000 0.1818182E-02 48.63636 1.000000 100.0000 0.3000000E-01    1 1.0000   0
    1 200.0000 5.000000 0.1818182E-02 48.09091 1.000000 100.0000 0.3000000E-01    2 1.0000   0
    2 400.0000 5.000000 0.1818182E-02 47.54546 1.000000 100.0000 0.3000000E-01    2 1.0000   0
    3 400.0000 5.000000 0.1818182E-02 46.81818 1.000000 100.0000 0.3000000E-01    2 1.0000   0
    4 400.0000 5.000000 0.1818182E-02 46.09091 1.000000 100.0000 0.3000000E-01    2 1.0000   0
    5 400.0000 5.000000 0.1818182E-02 45.36364 1.000000 100.0000 0.3000000E-01    1 1.0000   0
    6 400.0000 5.000000 0.2187500E-02 44.06250 1.000000 100.0000 0.3000000E-01    1 1.0000   0
    7 400.0000 5.000000 0.2187500E-02 43.18750 1.000000 100.0000 0.3000000E-01    2 1.0000   0
    8 400.0000 5.000000 0.2187500E-02 42.31250 1.000000 100.0000 0.3000000E-01    2 1.0000   0
    9 400.0000 5.000000 0.2187500E-02 41.43750 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   10 400.0000 5.000000 0.2187500E-02 40.56250 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   11 400.0000 5.000000 0.2187500E-02 39.68750 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   12 400.0000 5.000000 0.2187500E-02 38.81250 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   13 400.0000 5.000000 0.2187500E-02 37.93750 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   14 400.0000 5.000000 0.2187500E-02 37.06250 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   15 400.0000 5.000000 0.2187500E-02 36.18750 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   16 400.0000 5.000000 0.2187500E-02 35.31250 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   17 400.0000 5.000000 0.2187500E-02 34.43750 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   18 400.0000 5.000000 0.1704545E-02 41.15909 1.000000 100.0000 0.3000000E-01    1 1.0000   0
   19 200.0000 5.000000 0.1704545E-02 40.64773 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   20 200.0000 5.000000 0.1704545E-02 40.30682 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   21 400.0000 5.000000 0.1704545E-02 39.79546 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   22 400.0000 5.000000 0.1704545E-02 39.11364 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   23 400.0000 5.000000 0.1704545E-02 38.43182 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   24 400.0000 5.000000 0.1704545E-02 37.75000 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   25 200.0000 5.000000 0.1704545E-02 37.23864 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   26 200.0000 5.000000 0.1704545E-02 36.89773 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   27 400.0000 5.000000 0.1704545E-02 36.38636 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   28 400.0000 5.000000 0.1704545E-02 35.70454 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   29 400.0000 5.000000 0.1704545E-02 35.02273 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   30 400.0000 5.000000 0.1704545E-02 34.34091 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   31 400.0000 5.000000 0.2428571E-02 33.51429 1.000000 100.0000 0.3000000E-01    3 1.0000   0
   32 400.0000 5.000000 0.2428571E-02 32.54286 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   33 400.0000 5.000000 0.2428571E-02 31.57143 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   34 400.0000 5.000000 0.2428571E-02 30.60000 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   35 400.0000 5.000000 0.2428571E-02 29.62857 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   36 400.0000 5.000000 0.2428571E-02 28.65714 1.000000 100.0000 0.3000000E-01    2 1.0000   0
   37 400.0000 5.000000 0.2428571E-02 27.68571 1.000000 100.0000 0.3000000E-01    1 1.0000   0
