  1 1 23      48.86933391  2.00000000E+05      48.63636000  longestriverintheworld1
  1 2 23      48.30666461  100000.00000000      48.09091000  longestriverintheworld1
  1 2 22      47.78523699  2.00000000E+05      47.54546000  longestriverintheworld1
  1 3 21      47.11349172  2.00000000E+05      46.81818000  longestriverintheworld1
  1 4 20      46.43242538  2.00000000E+05      46.09091000  longestriverintheworld1
  1 5 20      45.74049461  2.00000000E+05      45.36364000  longestriverintheworld1
  1 17 18      44.50107479  2.00000000E+05      44.06250000  longestriverintheworld2
  1 18 18      43.59991753  2.00000000E+05      43.18750000  longestriverintheworld2
  1 19 18      42.70860678  2.00000000E+05      42.31250000  longestriverintheworld2
  1 20 17      41.81796270  2.00000000E+05      41.43750000  longestriverintheworld2
  1 21 17      40.92849074  2.00000000E+05      40.56250000  longestriverintheworld2
  1 22 17      40.04487048  2.00000000E+05      39.68750000  longestriverintheworld2
  1 23 16      39.15807390  2.00000000E+05      38.81250000  longestriverintheworld2
  1 24 16      38.26904936  2.00000000E+05      37.93750000  longestriverintheworld2
  1 25 16      37.38493896  2.00000000E+05      37.06250000  longestriverintheworld2
  1 26 16      36.50406939  2.00000000E+05      36.18750000  longestriverintheworld2
  1 27 16      35.62588959  2.00000000E+05      35.31250000  longestriverintheworld2
  1 28 15      34.73983069  2.00000000E+05      34.43750000  longestriverintheworld2
  1 18 11      41.19258185  2.00000000E+05      41.15909000  longestriverintheworld3
  1 19 11      40.68162292  100000.00000000      40.64773000  longestriverintheworld3
  1 19 12      40.37323656  100000.00000000      40.30682000  longestriverintheworld3
  1 20 12      39.90773185  2.00000000E+05      39.79546000  longestriverintheworld3
  1 21 12      39.24637022  2.00000000E+05      39.11364000  longestriverintheworld3
  1 22 13      38.59164102  2.00000000E+05      38.43182000  longestriverintheworld3
  1 23 13      37.93687466  2.00000000E+05      37.75000000  longestriverintheworld3
  1 24 13      37.42950792  100000.00000000      37.23864000  longestriverintheworld3
  1 24 14      37.10503863  100000.00000000      36.89773000  longestriverintheworld3
  1 25 14      36.62254594  2.00000000E+05      36.38636000  longestriverintheworld3
  1 26 14      35.95275332  2.00000000E+05      35.70454000  longestriverintheworld3
  1 27 14      35.27409489  2.00000000E+05      35.02273000  longestriverintheworld3
  1 28 15      34.60169174  2.00000000E+05      34.34091000  longestriverintheworld3
  1 29 15      33.90898544  2.00000000E+05      33.51429000  longestriverintheworld4
  1 30 15      32.92975635  2.00000000E+05      32.54286000  longestriverintheworld4
  1 31 15      31.95359331  2.00000000E+05      31.57143000  longestriverintheworld4
  1 32 15      30.97770276  2.00000000E+05      30.60000000  longestriverintheworld4
  1 33 15      30.00086408  2.00000000E+05      29.62857000  longestriverintheworld4
  1 34 15      29.02275411  2.00000000E+05      28.65714000  longestriverintheworld4
  1 35 15      28.04458057  2.00000000E+05      27.68571000  longestriverintheworld4
  
